rank	lemma	PoS	freq	perMil	%caps	%allC	range	disp
974	lot	r	99278	99.98	0.01	0.01	63995	0.96
975	nobody	p	99029	99.72	0.40	0.01	53615	0.97
976	weapon	n	98828	99.52	0.04	0.01	35902	0.96
977	best	r	98807	99.50	0.12	0.01	68176	0.98
978	station	n	98720	99.41	0.14	0.02	43970	0.97
979	island	n	98596	99.29	0.49	0.01	36301	0.97
980	absolutely	r	98574	99.27	0.30	0.01	56306	0.93
981	instead	r	98540	99.23	0.44	0.00	68365	0.97
982	discussion	n	98359	99.05	0.09	0.02	51754	0.93
983	instead	i	98231	98.92	0.21	0.00	66518	0.97
984	affect	v	98073	98.76	0.01	0.00	56853	0.95
985	design	v	97967	98.66	0.03	0.00	57017	0.95
986	little	d	97858	98.55	0.08	0.01	68300	0.98
987	anyway	r	97831	98.52	0.28	0.01	54639	0.97
988	respond	v	97750	98.44	0.02	0.00	60492	0.97
989	control	v	97504	98.19	0.04	0.01	55599	0.97
990	trouble	n	97439	98.12	0.05	0.01	61394	0.98
991	conversation	n	97193	97.88	0.03	0.00	54505	0.97
992	manage	v	97135	97.82	0.02	0.00	62573	0.97
993	close	r	97117	97.80	0.04	0.01	64919	0.97
994	date	n	97094	97.78	0.08	0.01	52530	0.98
995	public	n	97031	97.71	0.05	0.00	53626	0.96
996	army	n	97025	97.71	0.49	0.01	36060	0.96
997	top	j	96997	97.68	0.12	0.02	61807	0.95
998	post	v	96926	97.61	0.33	0.00	33033	0.86
999	charge	n	96872	97.55	0.03	0.01	52542	0.96
1000	seat	n	96853	97.53	0.02	0.01	46829	0.96
1001	assume	v	96840	97.52	0.06	0.00	56459	0.97
1002	writer	n	96279	96.96	0.08	0.01	47391	0.96
1003	perform	v	96202	96.88	0.02	0.00	51709	0.95
1004	credit	n	95981	96.66	0.10	0.01	43221	0.96
1005	green	j	95937	96.61	0.27	0.01	48582	0.96
1006	marriage	n	95885	96.56	0.07	0.00	32829	0.97
1007	operation	n	95878	96.55	0.11	0.00	46756	0.96
1008	indeed	r	95860	96.53	0.40	0.00	54826	0.96
1009	sleep	v	95600	96.27	0.05	0.01	45378	0.95
1010	necessary	j	95580	96.25	0.01	0.00	57769	0.95
1011	reveal	v	95401	96.07	0.02	0.01	56002	0.95
1012	agent	n	95371	96.04	0.16	0.02	37487	0.98
1013	access	n	95371	96.04	0.07	0.01	48439	0.95
1014	bar	n	95305	95.97	0.13	0.02	43831	0.97
1015	debate	n	95244	95.91	0.03	0.00	40461	0.93
1016	leg	n	95185	95.85	0.03	0.01	43504	0.93
1017	contain	v	95143	95.81	0.01	0.00	52654	0.94
1018	beat	v	94941	95.61	0.07	0.01	53471	0.98
1019	cool	j	94920	91.40	0.13	0.01	48400	0.97
1020	democratic	j	94862	95.53	0.72	0.01	34685	0.93
1021	cold	j	94856	95.52	0.15	0.01	50948	0.96
1022	glass	n	94803	95.47	0.04	0.01	42772	0.92
1023	improve	v	94764	95.43	0.02	0.00	55843	0.94
1024	adult	n	94547	95.21	0.06	0.01	43865	0.95
1025	trade	n	94509	95.17	0.18	0.01	38118	0.94
1026	religious	j	94485	95.15	0.06	0.00	29761	0.93
1027	head	v	94408	95.07	0.04	0.01	61720	0.97
1028	review	n	94364	95.03	0.24	0.01	41286	0.92
1029	kind	r	94334	95.00	0.04	0.01	48496	0.91
1030	address	v	94155	94.82	0.02	0.00	52421	0.94
1031	association	n	94100	94.76	0.61	0.01	46303	0.92
1032	measure	n	93952	94.61	0.04	0.00	41586	0.90
1033	stock	n	93809	94.47	0.07	0.01	31533	0.92
1034	gas	n	93763	94.42	0.07	0.01	33596	0.97
1035	deep	j	93753	94.41	0.07	0.01	58826	0.97
1036	lawyer	n	93526	94.18	0.06	0.01	37278	0.96
1037	production	n	93507	94.16	0.06	0.00	38272	0.94
1038	relate	v	93433	94.09	0.02	0.00	49803	0.91
1039	middle	j	93428	94.08	0.48	0.01	43858	0.95
1040	management	n	93289	93.94	0.21	0.01	38942	0.92
1041	original	j	93230	93.89	0.05	0.01	53362	0.96
1042	victim	n	93207	93.86	0.05	0.01	39686	0.97
1043	cancer	n	93157	93.81	0.13	0.01	24507	0.94
1044	speech	n	92837	93.49	0.04	0.00	38111	0.95
1045	particular	j	92775	93.43	0.01	0.00	53313	0.94
1046	trial	n	92762	93.41	0.05	0.00	33326	0.95
1047	none	p	92729	93.38	0.32	0.01	61496	0.99
1048	item	n	92545	93.14	0.05	0.00	38010	0.93
1049	weight	n	92516	93.17	0.06	0.01	40508	0.95
1050	tomorrow	r	92490	93.16	0.15	0.01	45766	0.95
1051	step	v	92268	92.92	0.08	0.01	56262	0.95
1052	positive	j	92223	92.87	0.04	0.00	47149	0.93
1053	form	v	92198	92.85	0.03	0.00	55002	0.96
1054	citizen	n	92182	92.83	0.12	0.01	42460	0.95
1055	study	v	92101	92.75	0.03	0.00	53791	0.97
1056	trip	n	91830	92.48	0.04	0.01	50589	0.98
1057	establish	v	91776	92.42	0.03	0.00	50913	0.93
1058	executive	n	91696	92.34	0.14	0.01	47471	0.92
1059	politics	n	91621	92.26	0.11	0.01	42034	0.95
1060	stick	v	91597	92.24	0.06	0.01	59747	0.98
1061	customer	n	91563	92.21	0.06	0.01	35072	0.95
1062	manager	n	91527	92.17	0.10	0.01	44787	0.94
1063	rather	i	91475	92.12	0.07	0.00	55943	0.94
1064	publish	v	91441	92.08	0.04	0.00	50234	0.95
1065	popular	j	91435	92.08	0.06	0.01	56261	0.96
1066	sing	v	91395	92.04	0.14	0.03	35339	0.97
1067	ahead	r	91325	91.97	0.04	0.01	55309	0.95
1068	conference	n	91185	91.83	0.24	0.01	43727	0.96
1069	total	j	91071	91.71	0.15	0.03	48286	0.95
1070	discover	v	90959	91.60	0.03	0.00	58775	0.97
1071	fast	r	90956	91.60	0.07	0.01	57118	0.98
1072	base	n	90915	91.55	0.08	0.01	48403	0.97
1073	direction	n	90826	91.46	0.04	0.00	56444	0.97
1074	sunday	n	90771	91.41	0.00	0.00	429	0.84
1075	maintain	v	90737	91.37	0.03	0.00	56399	0.95
1076	past	n	90674	91.31	0.02	0.00	56548	0.98
1077	majority	n	90548	91.18	0.06	0.00	47961	0.95
1078	peace	n	90518	91.15	0.17	0.01	39579	0.96
1079	dinner	n	90516	91.15	0.08	0.01	44737	0.97
1080	partner	n	90455	90.98	0.07	0.01	44212	0.98
1081	user	n	90342	90.98	0.07	0.00	26764	0.91
1082	above	i	90318	90.95	0.06	0.01	56249	0.96
1083	fly	v	90236	90.87	0.05	0.01	48108	0.97
1084	bag	n	90234	90.87	0.04	0.01	40672	0.95
1085	therefore	r	89981	90.61	0.31	0.00	43996	0.91
1086	rich	j	89706	90.34	0.09	0.01	50306	0.98
1087	individual	j	89686	90.32	0.05	0.00	46503	0.92
1088	tough	j	89612	90.24	0.05	0.01	58221	0.96
1089	owner	n	89612	90.24	0.05	0.01	46468	0.95
1090	shall	v	89582	90.21	0.07	0.01	25665	0.87
1091	inside	i	89494	90.12	0.11	0.01	55075	0.96
1092	voter	n	89245	89.87	0.07	0.01	26600	0.92
1093	tool	n	89236	89.86	0.07	0.01	44127	0.94
1094	june	n	89233	89.86	0.00	0.00	218	0.72
1095	far	j	89074	89.70	0.10	0.01	59361	0.97
1096	may	n	88994	89.62	1.00	0.02	44171	0.72
1097	mountain	n	88984	89.61	0.35	0.01	36851	0.95
1098	range	n	88892	89.52	0.06	0.00	48501	0.94
1099	coach	n	88826	89.45	0.14	0.01	27413	0.91
1100	fear	n	88724	89.35	0.06	0.01	49176	0.98
1101	friday	n	88632	89.25	0.99	0.03	47642	0.70
1102	attorney	n	88616	89.24	0.26	0.01	33813	0.92
1103	unless	c	88605	89.23	0.23	0.01	57994	0.98
1104	nor	c	88431	89.05	0.18	0.00	51340	0.95
1105	expert	n	88134	88.75	0.09	0.01	51674	0.96
1106	structure	n	88114	88.73	0.03	0.00	39360	0.91
1107	budget	n	88084	88.70	0.10	0.01	35823	0.93
1108	insurance	n	88036	88.65	0.10	0.01	27735	0.95
1109	text	n	87811	88.43	0.06	0.01	29464	0.90
1110	freedom	n	87806	88.42	0.18	0.01	38448	0.96
1111	crazy	j	87804	88.42	0.08	0.01	46635	0.96
1112	reader	n	87422	88.04	0.13	0.01	35682	0.93
1113	style	n	87244	87.86	0.07	0.01	45777	0.95
1114	through	r	87238	87.85	0.01	0.01	57847	0.98
1115	march	n	87215	87.83	0.00	0.00	6929	-4.46
1116	machine	n	87156	87.77	0.05	0.01	39948	0.97
1117	november	n	87108	87.72	0.00	0.00	194	0.83
1118	generation	n	87071	87.68	0.06	0.00	46827	0.96
1119	income	n	86902	87.51	0.05	0.00	30063	0.94
1120	born	v	86829	87.44	0.10	0.01	50909	0.98
1121	admit	v	86631	87.24	0.02	0.00	56313	0.98
1122	hello	u	86614	87.22	0.82	0.02	32336	0.90
1123	onto	i	86605	87.21	0.01	0.00	51859	0.93
1124	sea	n	86544	87.15	0.24	0.01	34520	0.97
1125	okay	j	86529	87.14	0.03	0.01	29469	0.89
1126	mouth	n	86406	87.01	0.02	0.01	42927	0.91
1127	throughout	i	86381	86.99	0.11	0.00	58978	0.95
1128	own	v	86371	86.98	0.02	0.01	52200	0.97
1129	test	v	86155	86.76	0.07	0.01	45294	0.96
1130	web	n	85868	86.47	0.57	0.01	36078	0.93
1131	shake	v	85841	86.44	0.06	0.01	42017	0.88
1132	threat	n	85754	86.36	0.03	0.00	43620	0.96
1133	solution	n	85661	86.26	0.07	0.01	45057	0.95
1134	shut	v	85625	86.23	0.25	0.01	44755	0.96
1135	down	i	85515	86.12	0.05	0.01	53960	0.95
1136	travel	v	85441	86.04	0.05	0.01	53314	0.98
1137	scientist	n	85428	86.03	0.13	0.01	32161	0.94
1138	hide	v	85395	86.00	0.05	0.01	50527	0.97
1139	obviously	r	85364	85.96	0.25	0.00	52366	0.95
1140	refer	v	85212	85.81	0.02	0.00	51236	0.95
1141	alone	r	85036	85.63	0.03	0.01	57157	0.98
1142	drink	v	84895	85.49	0.06	0.01	41332	0.97
1143	investigation	n	84783	85.38	0.05	0.00	36109	0.92
1144	senator	n	84544	85.14	0.69	0.01	24206	0.86
1145	unit	n	84518	85.11	0.09	0.00	37129	0.96
1146	photograph	n	84476	85.07	0.54	0.04	31428	0.79
1147	july	n	84439	85.03	1.00	0.01	41659	0.69
1148	television	n	84433	85.03	0.09	0.01	44159	0.95
1149	key	j	84228	84.82	0.10	0.02	53581	0.95
1150	sexual	j	84220	84.81	0.05	0.00	25606	0.92
1151	radio	n	84218	84.81	0.20	0.02	39844	0.97
1152	prevent	v	84179	84.77	0.02	0.00	51758	0.96
1153	once	c	84165	84.76	0.50	0.00	60193	0.98
1154	modern	j	83945	84.53	0.14	0.01	43476	0.95
1155	senate	n	83931	84.52	0.96	0.01	27266	0.91
1156	violence	n	83882	84.47	0.07	0.00	31702	0.95
1157	touch	v	83871	84.46	0.04	0.01	47842	0.95
1158	feature	n	83853	84.44	0.05	0.02	42809	0.94
1159	audience	n	83493	84.08	0.04	0.02	39974	0.96
1160	evening	n	83312	83.90	0.08	0.02	48709	0.96
1161	whom	p	83267	83.85	0.02	0.00	53669	0.97
1162	front	i	83180	83.76	0.01	0.01	51313	0.95
1163	hall	n	82960	83.54	0.52	0.02	41451	0.95
1164	task	n	82839	83.42	0.07	0.00	40046	0.92
1165	score	n	82738	83.32	0.05	0.01	28333	0.88
1166	skin	n	82598	83.18	0.04	0.01	36085	0.94
1167	suffer	v	82579	83.16	0.01	0.00	54431	0.97
1168	wide	j	82565	83.11	0.06	0.01	53988	0.96
1169	spring	n	82557	83.14	0.28	0.01	47245	0.94
1170	experience	v	82550	83.13	0.03	0.00	49647	0.95
1171	civil	j	82544	83.12	0.28	0.01	37109	0.95
1172	safety	n	82535	83.11	0.13	0.01	41300	0.96
1173	weekend	n	82429	83.01	0.09	0.04	49388	0.96
1174	while	n	82196	82.77	0.01	0.00	53513	0.97
1175	worth	i	82178	82.76	0.04	0.01	54819	0.98
1176	title	n	82165	82.74	0.10	0.01	40729	0.94
1177	heat	n	82112	82.69	0.11	0.01	34449	0.93
1178	normal	j	82076	82.65	0.04	0.01	47576	0.98
1179	hope	n	81896	82.47	0.06	0.01	54057	0.98
1180	yard	n	81852	82.43	0.04	0.01	31356	0.94
1181	finger	n	81817	82.39	0.03	0.01	40145	0.89
1182	tend	v	81665	82.24	0.00	0.00	51245	0.95
1183	mission	n	81524	82.10	0.13	0.01	37460	0.98
1184	eventually	r	81481	82.05	0.18	0.00	57453	0.97
1185	participant	n	81371	81.94	0.14	0.00	19831	0.79
1186	hotel	n	81364	81.94	0.23	0.02	32869	0.96
1187	judge	n	81312	81.88	0.16	0.01	29880	0.95
1188	pattern	n	81097	81.67	0.03	0.00	37906	0.92
1189	break	n	81057	81.63	0.12	0.09	44352	0.89
1190	institution	n	80998	81.57	0.08	0.00	33370	0.91
1191	faith	n	80912	81.48	0.13	0.01	33055	0.96
1192	professional	j	80903	81.47	0.09	0.00	44022	0.94
1193	reflect	v	80851	81.42	0.02	0.00	49659	0.93
1194	folk	n	80843	81.41	0.07	0.01	44111	0.96
1195	surface	n	80819	81.39	0.06	0.00	35059	0.94
1196	fall	n	80585	81.15	0.17	0.01	51868	0.96
1197	client	n	80584	81.15	0.04	0.00	28430	0.96
1198	edge	n	80577	81.14	0.08	0.01	45671	0.94
1199	traditional	j	80470	81.04	0.05	0.00	43143	0.93
1200	council	n	80469	81.03	0.69	0.01	32418	0.94
1201	device	n	80398	80.96	0.03	0.00	30919	0.95
1202	firm	n	80364	80.93	0.03	0.00	33264	0.93
1203	environmental	j	80328	80.89	0.20	0.01	23664	0.88
1204	responsibility	n	80294	80.86	0.03	0.00	45588	0.96
1205	chair	n	80186	80.75	0.06	0.01	37839	0.92
1206	internet	n	80144	80.71	0.69	0.00	33536	0.93
1207	october	n	80099	80.66	0.00	0.00	159	0.78
1208	by	r	80074	80.64	0.07	0.00	55900	0.98
1209	funny	j	79978	80.49	0.11	0.01	42702	0.97
1210	immediately	r	79856	80.42	0.05	0.00	55893	0.98
1211	investment	n	79833	80.39	0.08	0.00	32531	0.94
1212	ship	n	79715	80.28	0.04	0.01	22390	0.95
1213	effective	j	79635	80.19	0.04	0.00	43296	0.93
1214	previous	j	79535	80.09	0.08	0.00	50593	0.94
1215	content	n	79496	80.05	0.06	0.01	36639	0.92
1216	consumer	n	79489	80.05	0.14	0.01	30023	0.94
1217	element	n	79440	80.00	0.03	0.00	39165	0.92
1218	nuclear	j	79435	79.99	0.08	0.00	18340	0.94
1219	spirit	n	79123	79.68	0.25	0.01	38189	0.97
1220	directly	r	79121	79.68	0.01	0.00	52768	0.96
1221	afraid	j	78979	79.53	0.04	0.01	45364	0.97
1222	define	v	78953	79.51	0.03	0.00	40744	0.92
1223	handle	v	78899	79.45	0.02	0.01	52858	0.99
1224	track	n	78828	79.38	0.05	0.01	44966	0.97
1225	run	n	78645	79.20	0.07	0.01	44231	0.95
1226	wind	n	78623	79.18	0.10	0.01	33702	0.95
1227	lack	n	78587	79.14	0.04	0.00	49578	0.95
1228	cost	v	78520	79.07	0.06	0.01	47648	0.96
1229	announce	v	78426	78.98	0.01	0.00	53732	0.95
1230	journal	n	78364	78.91	0.63	0.01	30958	0.85
1231	heavy	j	78327	78.88	0.05	0.01	49265	0.96
1232	ice	n	78316	78.87	0.17	0.05	31118	0.97
1233	collection	n	78281	78.83	0.14	0.01	36224	0.94
1234	feed	v	78280	78.83	0.25	0.01	40539	0.98
1235	soldier	n	78276	78.83	0.09	0.02	27914	0.96
1236	just	j	78214	78.76	0.08	0.01	50407	0.97
1237	governor	n	78194	78.74	0.42	0.01	26085	0.90
1238	fish	n	78114	78.66	0.11	0.01	25642	0.96
1239	shoulder	n	78062	78.61	0.02	0.01	36939	0.88
1240	cultural	j	78023	78.57	0.10	0.00	28574	0.88
1241	successful	j	77999	78.55	0.03	0.00	51448	0.96
1242	fair	j	77775	78.32	0.11	0.01	47322	0.98
1243	trust	v	77728	78.27	0.15	0.01	43560	0.98
1244	suddenly	r	77721	78.27	0.21	0.01	44567	0.92
1245	future	j	77663	78.21	0.10	0.01	47482	0.94
1246	interested	j	77632	78.18	0.02	0.00	51909	0.98
1247	deliver	v	77338	77.88	0.02	0.00	51823	0.97
1248	saturday	n	77290	77.83	0.99	0.02	41490	0.72
1249	editor	n	77280	77.82	0.29	0.03	39103	0.92
1250	fresh	j	77195	77.74	0.14	0.06	43374	0.94
1251	anybody	p	77150	77.69	0.12	0.01	45192	0.95
1252	destroy	v	77088	77.63	0.03	0.01	42580	0.98
1253	claim	n	77050	77.59	0.03	0.00	34656	0.94
1254	critical	j	77026	77.57	0.05	0.00	44534	0.93
1255	agreement	n	76793	77.33	0.09	0.00	33927	0.94
1256	powerful	j	76773	77.31	0.03	0.00	50775	0.97
1257	researcher	n	76737	77.28	0.13	0.00	29987	0.89
1258	concept	n	76679	77.22	0.04	0.00	37290	0.92
1259	willing	j	76629	77.17	0.01	0.00	50769	0.97
1260	band	n	76423	76.96	0.11	0.01	28889	0.97
1261	marry	v	76412	76.95	0.03	0.01	34435	0.98
1262	promise	v	76397	76.93	0.06	0.01	48081	0.98
1263	easily	r	76348	76.88	0.01	0.00	54646	0.96
1264	restaurant	n	76197	76.73	0.08	0.01	33063	0.94
1265	league	n	76178	76.71	0.41	0.01	29677	0.91
1266	senior	j	76109	76.64	0.16	0.01	46037	0.94
1267	capital	n	76018	76.55	0.18	0.01	36239	0.95
1268	anymore	r	75907	76.44	0.02	0.01	46658	0.97
1269	april	n	75906	76.44	0.00	0.00	110	0.80
1270	potential	j	75838	76.37	0.03	0.00	48148	0.94
1271	etc	r	75726	76.26	0.02	0.00	31360	0.87
1272	quick	j	75637	76.17	0.10	0.01	53166	0.98
1273	magazine	n	75615	76.15	0.15	0.02	40669	0.96
1274	status	n	75577	76.11	0.05	0.01	39297	0.93
1275	attend	v	75448	75.98	0.02	0.00	47559	0.96
1276	replace	v	75439	75.97	0.03	0.00	50601	0.97
1277	due	i	75368	75.90	0.08	0.00	43372	0.92
1278	hill	n	75365	75.89	0.55	0.01	39303	0.96
1279	kitchen	n	75167	75.70	0.08	0.02	33076	0.92
1280	achieve	v	74946	75.47	0.02	0.00	44466	0.93
1281	screen	n	74705	75.23	0.05	0.01	34524	0.96
1282	generally	r	74681	75.21	0.08	0.00	46116	0.94
1283	mistake	n	74643	75.17	0.02	0.01	46277	0.98
1284	along	r	74461	74.98	0.01	0.01	52000	0.98
1285	strike	v	74378	74.90	0.05	0.01	48387	0.98
1286	battle	n	74296	74.82	0.12	0.01	42075	0.97
1287	spot	n	74296	74.51	0.04	0.01	48334	0.97
1288	basic	j	74208	74.73	0.07	0.00	45077	0.94
1289	very	j	74143	74.66	0.03	0.00	49442	0.97
1290	corner	n	74047	74.57	0.05	0.01	45403	0.94
1291	target	n	73925	74.44	0.09	0.01	37615	0.96
1292	driver	n	73902	74.42	0.08	0.02	31457	0.97
1293	beginning	n	73853	74.37	0.03	0.00	51435	0.97
1294	religion	n	73744	74.26	0.09	0.01	22818	0.93
1295	crisis	n	73691	74.21	0.07	0.01	35148	0.95
1296	count	v	73650	74.17	0.06	0.01	48330	0.98
1297	museum	n	73559	74.08	0.50	0.02	21332	0.92
1298	engage	v	73493	74.01	0.02	0.00	42778	0.94
1299	communication	n	73413	73.93	0.17	0.01	35917	0.94
1300	murder	n	73388	73.90	0.06	0.01	27384	0.96
1301	blow	v	73361	73.88	0.05	0.01	45107	0.97
1302	object	n	73304	73.82	0.03	0.00	27062	0.93
1303	express	v	73274	73.79	0.01	0.00	44508	0.95
1304	huh	u	73257	73.77	0.35	0.03	24798	0.87
1305	encourage	v	73251	73.77	0.03	0.00	48331	0.95
1306	matter	v	73171	73.69	0.03	0.01	46476	0.98
1307	blog	n	73163	73.68	0.06	0.01	26812	0.85
1308	smile	v	73137	73.65	0.04	0.00	30852	0.84
1309	return	n	73109	73.62	0.06	0.01	42382	0.96
1310	belief	n	73067	73.58	0.03	0.00	32544	0.93
1311	block	n	73065	73.58	0.07	0.01	36754	0.93
1312	debt	n	73015	73.53	0.04	0.00	23653	0.93
1313	fire	v	72911	73.42	0.07	0.02	38807	0.98
1314	labor	n	72759	73.27	0.21	0.00	29874	0.94
1315	understanding	n	72651	73.16	0.02	0.00	39087	0.92
1316	neighborhood	n	72625	73.14	0.05	0.01	35463	0.95
1317	contract	n	72568	73.08	0.05	0.00	30957	0.94
1318	middle	n	72563	73.07	0.05	0.01	50215	0.98
1319	species	n	72542	73.05	0.05	0.00	18244	0.91
1320	additional	j	72539	73.05	0.09	0.00	44911	0.93
1321	sample	n	72489	73.00	0.06	0.01	22303	0.85
1322	involved	j	72455	72.96	0.01	0.00	48897	0.96
1323	inside	r	72435	72.94	0.09	0.01	43652	0.95
1324	mostly	r	72378	72.89	0.08	0.00	51477	0.97
1325	path	n	72335	72.84	0.05	0.01	42601	0.97
1326	concerned	j	72309	72.82	0.02	0.00	49693	0.97
1327	apple	n	72273	72.78	0.63	0.01	23333	0.93
1328	conduct	v	72181	72.69	0.01	0.00	40870	0.92
1329	god	n	72022	72.53	0.31	0.02	25759	0.95
1330	wonderful	j	71940	72.45	0.08	0.01	43617	0.97
1331	library	n	71921	72.43	0.29	0.01	23827	0.89
1332	prison	n	71871	72.38	0.07	0.01	27931	0.97
1333	hole	n	71837	72.34	0.06	0.01	35049	0.96
1334	attempt	n	71833	72.34	0.02	0.00	47046	0.96
1335	complete	v	71752	72.26	0.03	0.00	44779	0.94
1336	code	n	71659	72.16	0.16	0.01	29896	0.96
1337	sales	n	71601	72.10	0.05	0.00	31746	0.93
1338	gift	n	71372	71.87	0.07	0.01	37030	0.98
1339	refuse	v	71277	71.78	0.02	0.00	46162	0.97
1340	increase	n	71248	71.75	0.01	0.00	34808	0.94
1341	garden	n	71243	71.74	0.28	0.01	27280	0.92
1342	introduce	v	71221	71.72	0.03	0.00	48231	0.97
1343	roll	v	71123	71.62	0.08	0.01	45222	0.95
1344	christian	j	71055	71.55	0.98	0.02	26667	0.95
1345	definitely	r	70982	71.48	0.10	0.01	46439	0.96
1346	like	j	70955	71.45	0.03	0.01	45933	0.97
1347	lake	n	70940	71.44	0.59	0.02	25641	0.94
1348	turn	n	70831	71.33	0.03	0.01	48919	0.98
1349	sure	r	70758	71.26	0.43	0.01	44832	0.96
1350	earn	v	70697	71.19	0.02	0.01	45075	0.96
1351	plane	n	70679	71.18	0.03	0.01	28076	0.96
1352	vehicle	n	70662	71.16	0.04	0.00	29581	0.96
1353	examine	v	70501	71.00	0.03	0.00	35662	0.89
1354	application	n	70441	70.94	0.07	0.00	29191	0.92
1355	thousand	n	70404	70.90	0.06	0.00	39088	0.92
1356	coffee	n	70366	70.86	0.09	0.01	31293	0.95
1357	gain	v	70275	70.77	0.02	0.00	48443	0.96
1358	result	v	70269	70.76	0.05	0.01	41774	0.92
1359	file	n	70059	70.55	0.09	0.02	24953	0.95
1360	billion	m	70048	70.54	0.01	0.00	23572	0.86
1361	reform	n	70010	70.50	0.11	0.01	25151	0.93
1362	ignore	v	70007	70.50	0.05	0.00	44824	0.97
1363	welcome	v	69914	70.41	0.47	0.01	45808	0.94
1364	gold	n	69903	70.39	0.20	0.02	31283	0.97
1365	jump	v	69861	70.35	0.05	0.01	44907	0.97
1366	planet	n	69822	70.31	0.11	0.01	25211	0.95
1367	location	n	69669	70.16	0.06	0.01	39482	0.96
1368	bird	n	69662	70.15	0.11	0.01	25184	0.96
1369	amazing	j	69525	70.01	0.11	0.02	42151	0.96
1370	principle	n	69403	69.89	0.06	0.00	30786	0.92
1371	promote	v	69398	69.89	0.03	0.00	40522	0.94
1372	search	n	69392	69.88	0.11	0.01	33439	0.96
1373	nine	m	69389	69.88	0.13	0.01	48032	0.98
1374	alive	j	69360	69.85	0.04	0.01	41724	0.98
1375	possibility	n	69316	69.80	0.01	0.00	45647	0.96
1376	sky	n	69285	69.77	0.12	0.01	32865	0.93
1377	otherwise	r	69243	69.73	0.21	0.00	48726	0.97
1378	remind	v	69182	69.67	0.04	0.00	48458	0.98
1379	healthy	j	69023	69.51	0.07	0.01	38842	0.95
1380	fit	v	68996	69.48	0.02	0.01	47493	0.98
1381	horse	n	68883	69.37	0.10	0.01	24248	0.95
1382	advantage	n	68866	69.35	0.03	0.00	45585	0.96
1383	commercial	j	68821	69.30	0.31	0.10	32983	0.90
1384	steal	v	68807	69.29	0.05	0.01	36405	0.98
1385	basis	n	68758	69.24	0.01	0.00	41700	0.93
1386	context	n	68668	69.15	0.03	0.00	29661	0.89
1387	highly	r	68586	69.07	0.03	0.00	46301	0.95
1388	christmas	n	68542	69.02	0.98	0.01	24324	0.97
1389	strength	n	68537	69.02	0.04	0.01	40744	0.97
1390	move	n	68522	69.00	0.04	0.01	46589	0.98
1391	monday	n	68488	68.97	0.00	0.00	316	0.82
1392	mean	n	68411	68.89	0.04	0.00	41752	0.94
1393	alone	j	68401	68.88	0.03	0.01	43387	0.97
1394	beach	n	68303	68.78	0.42	0.02	28793	0.96
1395	survey	n	68301	68.78	0.16	0.01	26224	0.89
1396	writing	n	68200	68.68	0.07	0.00	31323	0.94
1397	master	n	68182	68.66	0.36	0.02	34101	0.98
1398	cry	v	68161	68.64	0.03	0.01	35867	0.94
1399	scale	n	68139	68.62	0.11	0.00	30031	0.89
1400	resident	n	68096	68.57	0.08	0.02	32230	0.92
1401	football	n	68073	68.55	0.13	0.01	27064	0.93
1402	sweet	j	67903	68.38	0.16	0.02	39416	0.97
1403	failure	n	67885	68.36	0.05	0.00	38498	0.95
1404	reporter	n	67831	68.31	0.16	0.05	34812	0.94
1405	commit	v	67792	68.27	0.02	0.00	42887	0.97
1406	fight	n	67767	68.24	0.04	0.01	37570	0.98
1407	one	n	67755	68.23	0.02	0.00	40253	0.91
1408	associate	v	67750	68.23	0.02	0.00	34442	0.89
1409	vision	n	67714	68.19	0.08	0.01	35735	0.96
1410	function	n	67710	68.19	0.02	0.00	29486	0.90
1411	truly	r	67680	68.16	0.05	0.01	45836	0.96
1412	sick	j	67645	66.07	0.05	0.01	36179	0.98
1413	average	j	67618	68.09	0.06	0.01	37839	0.95
1414	human	n	67605	68.08	0.09	0.01	29455	0.96
1415	stupid	j	67597	68.07	0.08	0.02	33910	0.95
1416	will	n	67581	68.06	0.02	0.00	42081	0.97
1417	chinese	j	67573	68.05	1.00	0.01	19738	0.95
1418	connection	n	67550	68.02	0.05	0.01	40349	0.97
1419	camp	n	67510	67.98	0.09	0.01	29004	0.97
1420	stone	n	67456	67.93	0.29	0.03	30144	0.95
1421	hundred	n	67455	67.93	0.06	0.00	37658	0.91
1422	key	n	67404	67.88	0.10	0.02	38723	0.98
1423	truck	n	67403	67.88	0.05	0.02	27551	0.96
1424	afternoon	n	67378	67.85	0.04	0.02	43221	0.95
1425	responsible	j	67329	67.80	0.02	0.00	44691	0.97
1426	secretary	n	67325	67.80	0.50	0.02	32164	0.94
1427	apparently	r	67248	67.72	0.24	0.00	45503	0.98
1428	smart	j	67232	67.70	0.06	0.01	41382	0.98
1429	southern	j	67179	67.65	0.55	0.01	36781	0.95
1430	totally	r	67117	67.59	0.08	0.01	41895	0.97
1431	western	j	67085	67.56	0.65	0.00	33296	0.94
1432	collect	v	67062	67.53	0.03	0.00	40648	0.96
1433	conflict	n	67061	67.53	0.05	0.00	30544	0.92
1434	burn	v	66886	67.36	0.05	0.01	38907	0.98
1435	learning	n	66879	67.35	0.10	0.01	20308	0.81
1436	wake	v	66773	67.24	0.13	0.01	37377	0.96
1437	contribute	v	66772	67.24	0.04	0.00	43626	0.94
1438	ride	v	66723	67.19	0.05	0.01	36250	0.96
1439	british	j	66700	67.17	0.99	0.01	28042	0.95
